fish_Luv,val,acc,small,1
fish_XYZ,val,acc,small,1
birds_HLS,val,acc,small,2
birds_YUV,val,acc,small,6
birds_Lab,val,acc,small,7
birds_BGR,val,acc,small,3
birds_XYZ,val,acc,small,3
birds_HSV,val,acc,small,1
birds_YCrCb,val,acc,small,2
birds_Luv,val,acc,small,2
plants_BGR,val,acc,small,4
plants_Luv,val,acc,small,2
plants_HSV,val,acc,small,1
plants_HLS,val,acc,small,1
plants_YCrCb,val,acc,small,4
plants_YUV,val,acc,small,3
plants_XYZ,val,acc,small,2
plants_Lab,val,acc,small,1
cifar_YUV,val,acc,small,3
cifar_XYZ,val,acc,small,1
cifar_BGR,val,acc,small,3
cifar_Luv,val,acc,small,3
cifar_Lab,val,acc,small,3
cifar_HSV,val,acc,small,1
cifar_YCrCb,val,acc,small,1
aircrafts_HLS,val,acc,small,1
aircrafts_Luv,val,acc,small,1
aircrafts_Lab,val,acc,small,1
birds_HLS,val,loss,small,2
birds_YUV,val,loss,small,6
birds_Lab,val,loss,small,7
birds_BGR,val,loss,small,3
birds_XYZ,val,loss,small,3
birds_HSV,val,loss,small,1
birds_YCrCb,val,loss,small,2
birds_Luv,val,loss,small,2
cifar_YUV,val,loss,small,3
cifar_XYZ,val,loss,small,1
cifar_BGR,val,loss,small,3
cifar_Luv,val,loss,small,3
cifar_Lab,val,loss,small,3
cifar_HSV,val,loss,small,1
cifar_YCrCb,val,loss,small,1
fish_Lab,test,acc,small,2
fish_Luv,test,acc,small,2
fish_XYZ,test,acc,small,3
fish_YUV,test,acc,small,1
fish_HSV,test,acc,small,1
fish_HLS,test,acc,small,1
fish_YCrCb,test,acc,small,1
birds_HLS,test,acc,small,2
birds_YUV,test,acc,small,6
birds_Lab,test,acc,small,7
birds_BGR,test,acc,small,3
birds_XYZ,test,acc,small,3
birds_HSV,test,acc,small,1
birds_YCrCb,test,acc,small,2
birds_Luv,test,acc,small,2
plants_BGR,test,acc,small,4
plants_Luv,test,acc,small,2
plants_HSV,test,acc,small,1
plants_HLS,test,acc,small,1
plants_YCrCb,test,acc,small,4
plants_YUV,test,acc,small,3
plants_XYZ,test,acc,small,2
plants_Lab,test,acc,small,1
cifar_YUV,test,acc,small,3
cifar_XYZ,test,acc,small,1
cifar_BGR,test,acc,small,3
cifar_Luv,test,acc,small,3
cifar_Lab,test,acc,small,3
cifar_HSV,test,acc,small,1
cifar_YCrCb,test,acc,small,1
aircrafts_HLS,test,acc,small,1
aircrafts_Luv,test,acc,small,1
aircrafts_Lab,test,acc,small,1
birds_HLS,test,loss,small,2
birds_YUV,test,loss,small,6
birds_Lab,test,loss,small,7
birds_BGR,test,loss,small,3
birds_XYZ,test,loss,small,3
birds_HSV,test,loss,small,1
birds_YCrCb,test,loss,small,2
birds_Luv,test,loss,small,2
cifar_YUV,test,loss,small,3
cifar_XYZ,test,loss,small,1
cifar_BGR,test,loss,small,3
cifar_Luv,test,loss,small,3
cifar_Lab,test,loss,small,3
cifar_HSV,test,loss,small,1
cifar_YCrCb,test,loss,small,1
